age,region,income,visits,class
22,north,32000,3,basic
25,south,41000,5,basic
28,east,46000,6,standard
31,west,52000,7,standard
35,north,61000,8,premium
38,south,68000,9,premium
41,east,57000,6,standard
44,west,73000,10,premium
24,north,35000,4,basic
29,south,49000,6,standard
33,east,54000,7,standard
37,west,66000,9,premium
46,north,76000,11,premium
27,east,43000,5,basic
30,south,51000,7,standard
39,west,70000,10,premium
23,east,36000,4,basic
34,north,59000,8,standard
42,south,72000,10,premium
26,west,40000,5,basic
